2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49683, Remote Address: 127.0.0.1:49682, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49684, Remote Address: 127.0.0.1:5835, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49685, Remote Address: 127.0.0.1:49686, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49686, Remote Address: 127.0.0.1:49685, State: ESTABLISHED, Process ID: 5792, Process Name: LogiSyncProxy, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49687, Remote Address: 127.0.0.1:49688, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49688, Remote Address: 127.0.0.1:49687, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49689, Remote Address: 127.0.0.1:49690, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49690, Remote Address: 127.0.0.1:49689, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49691, Remote Address: 127.0.0.1:49692, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49692, Remote Address: 127.0.0.1:49691, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49693, Remote Address: 127.0.0.1:49694, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49694, Remote Address: 127.0.0.1:49693, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49695, Remote Address: 127.0.0.1:49696, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49696, Remote Address: 127.0.0.1:49695, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49697, Remote Address: 127.0.0.1:6110, State: ESTABLISHED, Process ID: 5716, Process Name: LogiSyncMiddleware, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:49699, Remote Address: 127.0.0.1:9506, State: ESTABLISHED, Process ID: 9336, Process Name: LogiSyncHandler, Process Start Time: 2024-11-15 12:09:02
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 127.0.0.1:55878, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 13620, Process Name: Code, Process Start Time: 2024-11-22 13:22:57
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:139, Remote Address: 0.0.0.0:0, State: LISTENING, Process ID: 4, Process Name: System, Process Start Time: 2024-11-15 12:08:47
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24178, Remote Address: 20.198.162.76:443, State: ESTABLISHED, Process ID: 19440, Process Name: OneDrive, Process Start Time: 2024-11-22 13:17:20
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24190, Remote Address: 149.154.170.100:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24227, Remote Address: 52.98.90.2:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24234, Remote Address: 52.123.164.71:443, State: ESTABLISHED, Process ID: 11344, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:45
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24243, Remote Address: 52.207.122.56:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24244, Remote Address: 172.253.118.188:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24256, Remote Address: 4.190.204.124:443, State: ESTABLISHED, Process ID: 11344, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:45
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24283, Remote Address: 104.199.241.202:4070, State: ESTABLISHED, Process ID: 4496, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:47
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24287, Remote Address: 35.186.224.40:443, State: ESTABLISHED, Process ID: 4496, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:47
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24296, Remote Address: 35.186.224.40:443, State: ESTABLISHED, Process ID: 21416, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:48
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24314, Remote Address: 52.123.164.86:443, State: ESTABLISHED, Process ID: 26456, Process Name: ms-teams, Process Start Time: 2024-11-22 13:18:31
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24316, Remote Address: 48.218.107.66:443, State: ESTABLISHED, Process ID: 23068, Process Name: ms-teams, Process Start Time: 2024-11-22 13:17:56
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24352, Remote Address: 142.251.12.94:443, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:24362, Remote Address: 66.203.125.12:443, State: ESTABLISHED, Process ID: 23020, Process Name: MEGAsync, Process Start Time: 2024-11-22 13:17:47
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:25554, Remote Address: 142.251.10.138:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:22 - Protocol: TCP, Local Address: 192.168.66.54:25916, Remote Address: 142.251.175.139:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26053, Remote Address: 140.82.114.25:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26095, Remote Address: 64.233.170.94:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26158, Remote Address: 151.101.110.248:443, State: ESTABLISHED, Process ID: 21416, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:48
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26159, Remote Address: 151.101.110.248:443, State: ESTABLISHED, Process ID: 21416, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:48
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26161, Remote Address: 151.101.110.248:443, State: ESTABLISHED, Process ID: 21416, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:48
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26162, Remote Address: 151.101.110.248:443, State: ESTABLISHED, Process ID: 21416, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:48
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26167, Remote Address: 151.101.110.248:443, State: ESTABLISHED, Process ID: 21416, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:48
